layer,dataset_count,total_vectors,median_range,median_cv_percent,mean_range
0,7,3780,0.00568--0.00637,3.3732195104987297,0.00514--0.00581
10,7,3780,0.20575--0.21649,1.8306644734157502,0.20044--0.21055
20,7,3780,0.27344--0.28223,0.9938699972234533,0.26712--0.27552
