dataset_label,0,10,20
WikiText-2,0.0062103271484375,0.21240234375,0.279296875
GSM8K,0.0056838989257812,0.21533203125,0.278564453125
Qasper,0.0063743591308593,0.207275390625,0.2734375
MultiFieldQA-EN,0.00628662109375,0.2088623046875,0.27490234375
NarrativeQA,0.0062179565429687,0.21649169921875,0.2822265625
HotpotQA,0.006256103515625,0.2081298828125,0.27587890625
MuSiQue,0.0061569213867187,0.20574951171875,0.2783203125
