task,uniform_calib,diff_calib,calib_delta,uniform_val,diff_val,val_delta,p0,p1,p2,rho1,calib_indices_file,val_indices_file,best_calib_dir,best_val_dir
trec,62.5,75.0,12.5,50.0,55.0,5.0,0.0,0.75,0.25,0.6,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/trec_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/trec_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_trec_cand1,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_trec_bestdiff_val
hotpotqa,34.38,34.38,0.0,46.17,46.17,0.0,0.0,0.75,0.25,0.6,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/hotpotqa_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/hotpotqa_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_hotpotqa_cand1,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_hotpotqa_bestdiff_val
qasper,49.08,58.07,8.990000000000002,39.02,38.91,-0.11000000000000654,0.0,0.90009,0.09991,0.6667,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/qasper_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/qasper_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_qasper_cand2,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_qasper_bestdiff_val
narrativeqa,9.5,8.76,-0.7400000000000002,29.81,29.55,-0.259999999999998,0.0,0.90009,0.09991,0.6667,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/narrativeqa_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/narrativeqa_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_narrativeqa_cand2,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_narrativeqa_bestdiff_val
multifieldqa_en,41.16,42.41,1.25,39.53,38.14,-1.3900000000000006,0.0,1.0,0.0,0.7,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/multifieldqa_en_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/rep5_pertask_try1_per_task_indices/multifieldqa_en_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_multifieldqa_en_cand3,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.70_rep5_pertask_try1_multifieldqa_en_bestdiff_val
