task,uniform_calib,diff_calib,calib_delta,uniform_val,diff_val,val_delta,p0,p1,p2,rho1,importance_mode,head_aggregation_mode,value_sink_keep,head_aggregation_alpha,level_2_mode,selector_mode,protected_heavy_ratio,calib_indices_file,val_indices_file,best_calib_dir,best_val_dir
qasper,57.0,57.0,0.0,38.14,39.65,1.509999999999998,0.0,0.833333,0.166667,0.4,value_aware,max,2,0.5,evict,diffsparse,0.0,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/qasper_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/qasper_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_qasper_cand1_p0_0p00_p1_0p83_p2_0p17_rho1_0p4000_imp_value_aware_head_max_sink_2_alpha_0.50_l2_evict_sel_diffsparse_phr_0.00,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_qasper_bestdiff_val
multifieldqa_en,42.21,41.12,-1.0900000000000034,40.49,41.18,0.6899999999999977,0.0,0.833333,0.166667,0.4,value_aware,max,2,0.5,evict,diffsparse,0.0,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/multifieldqa_en_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/multifieldqa_en_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_multifieldqa_en_cand1_p0_0p00_p1_0p83_p2_0p17_rho1_0p4000_imp_value_aware_head_max_sink_2_alpha_0.50_l2_evict_sel_diffsparse_phr_0.00,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_multifieldqa_en_bestdiff_val
narrativeqa,5.64,5.64,0.0,29.98,30.29,0.3099999999999987,0.0,0.833333,0.166667,0.4,value_aware,max,2,0.5,evict,diffsparse,0.0,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/narrativeqa_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/narrativeqa_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_narrativeqa_cand1_p0_0p00_p1_0p83_p2_0p17_rho1_0p4000_imp_value_aware_head_max_sink_2_alpha_0.50_l2_evict_sel_diffsparse_phr_0.00,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_narrativeqa_bestdiff_val
trec,75.0,75.0,0.0,60.0,60.0,0.0,0.0,0.833333,0.166667,0.4,value_aware,max,2,0.5,evict,diffsparse,0.0,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/trec_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/trec_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_trec_cand1_p0_0p00_p1_0p83_p2_0p17_rho1_0p4000_imp_value_aware_head_max_sink_2_alpha_0.50_l2_evict_sel_diffsparse_phr_0.00,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_trec_bestdiff_val
lcc,53.75,60.75,7.0,63.8,63.6,-0.19999999999999574,0.0,0.833333,0.166667,0.4,value_aware,max,2,0.5,evict,diffsparse,0.0,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/lcc_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/lcc_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_lcc_cand1_p0_0p00_p1_0p83_p2_0p17_rho1_0p4000_imp_value_aware_head_max_sink_2_alpha_0.50_l2_evict_sel_diffsparse_phr_0.00,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_lcc_bestdiff_val
hotpotqa,34.38,34.38,0.0,47.83,46.17,-1.6599999999999966,0.0,0.833333,0.166667,0.4,value_aware,max,2,0.5,evict,diffsparse,0.0,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/hotpotqa_calibration_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/rep6_budget50_try1_per_task_indices/hotpotqa_validation_indices.json,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_hotpotqa_cand1_p0_0p00_p1_0p83_p2_0p17_rho1_0p4000_imp_value_aware_head_max_sink_2_alpha_0.50_l2_evict_sel_diffsparse_phr_0.00,/mnt/home/zh/mustafar/DiffSparseKV/solver_runs_budget50/Meta-Llama-3-8B-Instruct_8192_diff_sparse_kv_0.50_rep6_budget50_try1_hotpotqa_bestdiff_val
