dataset_label,0,10,20
WikiText-2,0.013092041015625,0.238525390625,0.26611328125
GSM8K,0.0134048461914062,0.256103515625,0.27294921875
Qasper,0.0141143798828125,0.23968505859375,0.2548828125
MultiFieldQA-EN,0.0138740539550781,0.2454833984375,0.270751953125
NarrativeQA,0.0138168334960937,0.25146484375,0.282958984375
HotpotQA,0.0137596130371093,0.2498779296875,0.2698974609375
MuSiQue,0.0137138366699218,0.24835205078125,0.2762451171875
