layer,threshold_type,dataset_count,median_min,median_max,median_range,median_cv_percent,mean_min,mean_max,mean_range
10,threshold_high,7,0.6711999177932739,0.9242746829986572,0.67120--0.92427,10.206450114420244,0.6648369789123535,0.9270318269729614,0.66484--0.92703
10,threshold_low,7,0.04242759570479393,0.06551693007349968,0.04243--0.06552,14.369845689769148,0.04143659472465515,0.06672137603163719,0.04144--0.06672
20,threshold_high,7,0.35568252205848694,0.6168950498104095,0.35568--0.61690,19.395953019535636,0.3513652503490448,0.6046725928783416,0.35137--0.60467
20,threshold_low,7,0.01731682475656271,0.028897111304104328,0.01732--0.02890,19.824542737110505,0.01777607323601842,0.02898954674601555,0.01778--0.02899
