dataset,sample_idx,seq_len,layer,threshold_type,threshold_value
multifieldqa_en,0,192,10,threshold_high,0.7506524920463562
multifieldqa_en,0,192,10,threshold_low,0.05170289799571037
multifieldqa_en,0,192,20,threshold_high,0.3657644987106323
multifieldqa_en,0,192,20,threshold_low,0.016226468607783318
multifieldqa_en,1,192,10,threshold_high,0.7717626094818115
multifieldqa_en,1,192,10,threshold_low,0.04274377599358559
multifieldqa_en,1,192,20,threshold_high,0.4593282639980316
multifieldqa_en,1,192,20,threshold_low,0.018770387396216393
multifieldqa_en,2,192,10,threshold_high,0.7214519381523132
multifieldqa_en,2,192,10,threshold_low,0.048506513237953186
multifieldqa_en,2,192,20,threshold_high,0.403783917427063
multifieldqa_en,2,192,20,threshold_low,0.01759936474263668
multifieldqa_en,3,192,10,threshold_high,0.7464439868927002
multifieldqa_en,3,192,10,threshold_low,0.05308907851576805
multifieldqa_en,3,192,20,threshold_high,0.44770970940589905
multifieldqa_en,3,192,20,threshold_low,0.022953251376748085
multifieldqa_en,4,192,10,threshold_high,0.791965663433075
multifieldqa_en,4,192,10,threshold_low,0.04970606043934822
multifieldqa_en,4,192,20,threshold_high,0.5297204852104187
multifieldqa_en,4,192,20,threshold_low,0.024263007566332817
multifieldqa_en,5,192,10,threshold_high,0.734846830368042
multifieldqa_en,5,192,10,threshold_low,0.04741951823234558
multifieldqa_en,5,192,20,threshold_high,0.43984881043434143
multifieldqa_en,5,192,20,threshold_low,0.02285701595246792
multifieldqa_en,6,192,10,threshold_high,0.6598741412162781
multifieldqa_en,6,192,10,threshold_low,0.0378434918820858
multifieldqa_en,6,192,20,threshold_high,0.30051735043525696
multifieldqa_en,6,192,20,threshold_low,0.016846293583512306
multifieldqa_en,7,192,10,threshold_high,0.645914614200592
multifieldqa_en,7,192,10,threshold_low,0.05003403127193451
multifieldqa_en,7,192,20,threshold_high,0.3465855121612549
multifieldqa_en,7,192,20,threshold_low,0.01979420892894268
multifieldqa_en,8,192,10,threshold_high,0.7555316090583801
multifieldqa_en,8,192,10,threshold_low,0.04722176119685173
multifieldqa_en,8,192,20,threshold_high,0.421609491109848
multifieldqa_en,8,192,20,threshold_low,0.017133042216300964
multifieldqa_en,9,192,10,threshold_high,0.6505832672119141
multifieldqa_en,9,192,10,threshold_low,0.03265455365180969
multifieldqa_en,9,192,20,threshold_high,0.3184739053249359
multifieldqa_en,9,192,20,threshold_low,0.014159169979393482
narrativeqa,0,192,10,threshold_high,0.6913813948631287
narrativeqa,0,192,10,threshold_low,0.04347517713904381
narrativeqa,0,192,20,threshold_high,0.3803693354129791
narrativeqa,0,192,20,threshold_low,0.016761844977736473
narrativeqa,1,192,10,threshold_high,0.6396876573562622
narrativeqa,1,192,10,threshold_low,0.036044541746377945
narrativeqa,1,192,20,threshold_high,0.300827294588089
narrativeqa,1,192,20,threshold_low,0.01486243773251772
narrativeqa,2,192,10,threshold_high,0.6195164322853088
narrativeqa,2,192,10,threshold_low,0.0456366240978241
narrativeqa,2,192,20,threshold_high,0.3948725759983063
narrativeqa,2,192,20,threshold_low,0.02143813483417034
narrativeqa,3,192,10,threshold_high,0.6919229626655579
narrativeqa,3,192,10,threshold_low,0.035732269287109375
narrativeqa,3,192,20,threshold_high,0.357860803604126
narrativeqa,3,192,20,threshold_low,0.014461335726082325
narrativeqa,4,192,10,threshold_high,0.6791989803314209
narrativeqa,4,192,10,threshold_low,0.055580925196409225
narrativeqa,4,192,20,threshold_high,0.4139512777328491
narrativeqa,4,192,20,threshold_low,0.018779784440994263
narrativeqa,5,192,10,threshold_high,0.663200855255127
narrativeqa,5,192,10,threshold_low,0.03786851838231087
narrativeqa,5,192,20,threshold_high,0.2903854250907898
narrativeqa,5,192,20,threshold_low,0.012655417434871197
narrativeqa,6,192,10,threshold_high,0.682295560836792
narrativeqa,6,192,10,threshold_low,0.05149388313293457
narrativeqa,6,192,20,threshold_high,0.4630378186702728
narrativeqa,6,192,20,threshold_low,0.02162770926952362
narrativeqa,7,192,10,threshold_high,0.6978456377983093
narrativeqa,7,192,10,threshold_low,0.04464597627520561
narrativeqa,7,192,20,threshold_high,0.4073079526424408
narrativeqa,7,192,20,threshold_low,0.017267609015107155
narrativeqa,8,192,10,threshold_high,0.6578562259674072
narrativeqa,8,192,10,threshold_low,0.042580489069223404
narrativeqa,8,192,20,threshold_high,0.37017524242401123
narrativeqa,8,192,20,threshold_low,0.017366040498018265
narrativeqa,9,192,10,threshold_high,0.6254640817642212
narrativeqa,9,192,10,threshold_low,0.0441318042576313
narrativeqa,9,192,20,threshold_high,0.39238157868385315
narrativeqa,9,192,20,threshold_low,0.022540418431162834
hotpotqa,0,192,10,threshold_high,0.7301804423332214
hotpotqa,0,192,10,threshold_low,0.048994239419698715
hotpotqa,0,192,20,threshold_high,0.45272600650787354
hotpotqa,0,192,20,threshold_low,0.021553225815296173
hotpotqa,1,192,10,threshold_high,0.7176046967506409
hotpotqa,1,192,10,threshold_low,0.046076733618974686
